tick,area,sex,count
21,sa,male,4
21,sa,female,8
21,wa,male,7
21,wa,female,8
21,tas,male,3
21,tas,female,3
21,act,female,1
22,nsw,male,22
22,nsw,female,21
22,vic,male,19
22,vic,female,12
22,qld,male,16
22,qld,female,8
22,sa,male,7
22,sa,female,4
22,wa,male,6
22,wa,female,3
22,tas,male,1
22,tas,female,1
22,nt,male,1
22,act,male,1
22,act,female,1
23,nsw,male,27
23,nsw,female,15
23,vic,male,17
23,vic,female,15
23,qld,male,9
23,qld,female,20
23,sa,male,7
23,sa,female,7
23,wa,male,9
23,wa,female,10
23,tas,male,1
23,tas,female,5
23,act,male,1
