tick,area,sex,count
18,nsw,female,37
18,vic,male,30
18,vic,female,25
18,qld,male,28
18,qld,female,16
18,sa,male,5
18,sa,female,6
18,wa,male,15
18,wa,female,12
18,tas,male,1
18,nt,male,2
18,nt,female,2
18,act,male,1
18,act,female,1
19,nsw,male,41
19,nsw,female,29
19,vic,male,19
19,vic,female,27
19,qld,male,26
19,qld,female,23
19,sa,male,5
19,sa,female,8
19,wa,male,12
19,wa,female,8
19,tas,female,2
19,act,male,2
19,act,female,3
20,nsw,male,36
20,nsw,female,44
20,vic,male,23
20,vic,female,25
20,qld,male,21
20,qld,female,24
20,sa,male,7
20,sa,female,3
20,wa,male,13
20,wa,female,11
20,tas,male,1
20,tas,female,1
20,nt,male,3
20,act,male,2
20,act,female,3
21,nsw,male,51
21,nsw,female,40
21,vic,male,35
21,vic,female,26
21,qld,male,20
21,qld,female,19
21,sa,male,7
21,sa,female,5
21,wa,male,9
21,wa,female,10
21,tas,male,2
21,nt,male,3
21,act,female,4
22,nsw,male,38
22,nsw,female,52
22,vic,male,23
22,vic,female,29
22,qld,male,15
22,qld,female,21
22,sa,male,2
22,sa,female,6
22,wa,male,13
22,wa,female,19
22,nt,male,1
22,nt,female,2
22,act,male,1
22,act,female,5
23,nsw,male,27
23,nsw,female,39
23,vic,male,25
23,vic,female,31
23,qld,male,22
23,qld,female,22
23,sa,male,8
23,sa,female,3
23,wa,male,5
23,wa,female,8
23,tas,male,2
23,nt,male,2
23,nt,female,1
23,act,male,2
23,act,female,1
