tick,area,sex,count
11,tas,male,1
11,nt,male,2
11,nt,female,1
11,act,male,2
11,act,female,3
12,nsw,male,75
12,nsw,female,54
12,vic,male,36
12,vic,female,35
12,qld,male,30
12,qld,female,38
12,sa,male,7
12,sa,female,11
12,wa,male,26
12,wa,female,30
12,tas,female,2
12,nt,male,1
12,nt,female,4
12,act,male,3
12,act,female,5
13,nsw,male,55
13,nsw,female,53
13,vic,male,46
13,vic,female,38
13,qld,male,39
13,qld,female,27
13,sa,male,10
13,sa,female,7
13,wa,male,38
13,wa,female,24
13,tas,male,3
13,tas,female,1
13,nt,male,2
13,nt,female,3
13,act,male,3
13,act,female,4
14,nsw,male,57
14,nsw,female,60
14,vic,male,40
14,vic,female,35
14,qld,male,38
14,qld,female,27
14,sa,male,9
14,sa,female,16
14,wa,male,25
14,wa,female,24
14,tas,female,1
14,nt,male,2
14,nt,female,4
14,act,male,1
14,act,female,6
15,nsw,male,65
15,nsw,female,48
15,vic,male,47
15,vic,female,45
15,qld,male,24
15,qld,female,29
15,sa,male,11
15,sa,female,8
15,wa,male,25
15,wa,female,23
15,tas,male,2
15,tas,female,3
15,nt,male,4
15,nt,female,3
15,act,male,4
15,act,female,1
16,nsw,male,54
16,nsw,female,54
16,vic,male,39
16,vic,female,50
16,qld,male,36
16,qld,female,36
16,sa,male,10
16,sa,female,10
16,wa,male,24
16,wa,female,26
16,tas,male,1
16,tas,female,1
16,nt,male,2
16,nt,female,1
16,act,male,3
16,act,female,5
17,nsw,male,53
17,nsw,female,67
17,vic,male,43
17,vic,female,43
17,qld,male,31
17,qld,female,35
17,sa,male,6
17,sa,female,9
17,wa,male,23
17,wa,female,30
17,tas,female,2
17,nt,male,3
17,nt,female,1
17,act,male,2
17,act,female,1
18,nsw,male,62
18,nsw,female,44
18,vic,male,42
18,vic,female,41
18,qld,male,30
18,qld,female,35
18,sa,male,8
18,sa,female,14
18,wa,male,26
18,wa,female,22
18,tas,male,3
18,tas,female,4
18,nt,male,3
18,nt,female,1
18,act,male,5
18,act,female,4
19,nsw,male,59
19,nsw,female,56
19,vic,male,48
19,vic,female,45
19,qld,male,29
19,qld,female,30
19,sa,male,3
19,sa,female,8
19,wa,male,25
19,wa,female,29
19,nt,male,1
19,nt,female,1
19,act,male,5
19,act,female,3
20,nsw,male,53
20,nsw,female,53
20,vic,male,38
20,vic,female,43
20,qld,male,22
20,qld,female,29
20,sa,male,7
20,sa,female,5
20,wa,male,24
20,wa,female,29
20,tas,male,3
20,nt,male,1
20,nt,female,3
20,act,male,4
20,act,female,4
21,nsw,male,53
21,nsw,female,51
21,vic,male,43
21,vic,female,41
21,qld,male,40
21,qld,female,33
21,sa,male,9
21,sa,female,7
21,wa,male,29
21,wa,female,18
21,tas,male,2
21,tas,female,1
21,nt,male,3
21,nt,female,2
21,act,male,2
21,act,female,2
22,nsw,male,64
22,nsw,female,45
22,vic,male,36
22,vic,female,34
22,qld,male,34
22,qld,female,35
22,sa,male,7
22,sa,female,5
22,wa,male,19
22,wa,female,23
22,tas,female,3
22,act,male,4
22,act,female,4
23,nsw,male,61
23,nsw,female,43
23,vic,male,33
23,vic,female,39
23,qld,male,36
23,qld,female,31
23,sa,male,1
23,sa,female,7
23,wa,male,21
23,wa,female,20
23,tas,female,1
23,nt,male,1
23,act,male,1
23,act,female,4
