Generating SQLite file /home/ubuntu/demographic-bench/cuda-readback-diagnostic/nsys/workers-4/trace.sqlite from /home/ubuntu/demographic-bench/cuda-readback-diagnostic/nsys/workers-4/trace.nsys-rep
Processing [/home/ubuntu/demographic-bench/cuda-readback-diagnostic/nsys/workers-4/trace.sqlite] with [/opt/nvidia/nsight-systems/2024.6.2/host-linux-x64/reports/cuda_kern_exec_sum.py]... 
PID,TID,DevId,Count,QCount,TAvg (ns),TMed (ns),TMin (ns),TMax (ns),TStdDev (ns),AAvg (ns),AMed (ns),AMin (ns),AMax (ns),AStdDev (ns),QAvg (ns),QMed (ns),QMin (ns),QMax (ns),QStdDev (ns),KAvg (ns),KMed (ns),KMin (ns),KMax (ns),KStdDev (ns),API Name,Kernel Name
23889,23907,0,24,24,28799376.2,32422818.5,10029742,35916299,7880368.8,83370.9,8533.0,4717,704483,167666.2,28545678.0,32207281.0,9853488,35518951,7823949.0,170327.2,168629.0,165124,200293,6862.8,cuLaunchKernel,sembla_transition_00000009
23889,23909,0,24,24,28496714.6,28655809.5,25196805,31542361,2126082.9,7744.2,7361.0,6340,10175,1016.8,28276658.1,28436988.5,24974555,31320040,2126304.1,212312.3,212454.0,210086,215429,1551.7,cuLaunchKernel,sembla_init_effect_owners
23889,23908,0,24,24,28320830.4,28828868.5,19629707,33151726,3303970.7,8623.0,8007.0,5829,11978,1622.8,27895444.1,28406124.0,19210744,32731770,3302809.3,416763.4,415083.0,411211,428172,5068.8,cuLaunchKernel,sembla_reduce_claim_entities
23889,23908,0,24,24,27936182.0,29271901.5,19187214,32855761,3439842.6,8891.3,7527.5,5539,26961,4613.2,27563622.3,28900081.0,18820481,32483350,3440653.8,363668.5,362602.0,360393,373546,3083.9,cuLaunchKernel,sembla_reduce_claim_rules
23889,23910,0,960,960,27745503.5,26616363.0,20445782,35661486,3706641.5,17188.9,7556.5,3555,863955,48447.9,27632687.3,26500335.5,20312445,35514775,3709457.3,95627.3,95011.0,51170,219910,31597.2,cuLaunchKernel,sembla_prepare_effects
23889,23908,0,24,24,27665666.1,28682161.5,18440124,32623020,3893441.2,9586.2,8572.0,5288,24286,3554.8,26934349.8,27950499.0,17695146,31891003,3894362.9,721730.2,721779.5,716692,729907,2855.3,cuLaunchKernel,sembla_build_claim_instances
23889,23909,0,96,96,27525814.0,27852866.0,23254162,31558761,2462679.1,7491.6,6775.0,3837,31198,3044.4,27391374.9,27720625.0,23109644,31427014,2463484.1,126947.4,125668.0,122851,142115,3432.0,cuLaunchKernel,sembla_validate_effects
23889,23908,0,24,24,27451266.8,28816810.5,18741869,32435144,3498914.7,8849.3,8613.0,6049,13240,1759.0,27130057.0,28489089.5,18422148,32120255,3498892.1,312360.4,307849.0,303432,359530,11584.0,cuLaunchKernel,sembla_reduce_claim_keys
23889,23908,0,24,24,27055010.4,27982596.5,17487217,32243458,4150171.4,9487.1,7706.5,5589,42405,7187.8,26802174.0,27734423.0,17217704,31998006,4154162.0,243349.3,241750.5,238662,261831,5231.2,cuLaunchKernel,sembla_init_conflict_winners
23889,23910,0,24,24,26923469.6,28362089.0,20561644,32353519,3521166.9,8225.4,7917.0,5979,12338,1518.3,26701943.8,28142259.5,20340885,32132371,3521814.8,213300.3,212501.5,210790,220646,2378.5,cuLaunchKernel,sembla_init_effect_owners
