year,sex,age_band,rate_per_1000
2019,female,75-79,20.9
2019,female,80-84,40.0
2019,female,85-89,81.6
2019,female,90-94,158.9
2019,female,95-99,272.2
2019,male,0-4,0.9
2019,male,10-14,0.1
2019,male,100+,361.5
2019,male,15-19,0.4
2019,male,20-24,0.7
2019,male,25-29,0.7
2019,male,30-34,0.9
2019,male,35-39,1.1
2019,male,40-44,1.7
2019,male,45-49,2.5
2019,male,5-9,0.1
2019,male,50-54,3.4
2019,male,55-59,5.1
2019,male,60-64,8.0
2019,male,65-69,11.7
2019,male,70-74,18.2
2019,male,75-79,31.5
2019,male,80-84,57.7
2019,male,85-89,108.6
2019,male,90-94,193.9
2019,male,95-99,308.2
2020,female,0-4,0.7
2020,female,10-14,0.1
2020,female,100+,412.5
2020,female,15-19,0.2
2020,female,20-24,0.2
2020,female,25-29,0.3
2020,female,30-34,0.4
2020,female,35-39,0.6
2020,female,40-44,0.8
2020,female,45-49,1.3
2020,female,5-9,0.0
2020,female,50-54,1.9
2020,female,55-59,2.8
2020,female,60-64,4.3
2020,female,65-69,6.3
2020,female,70-74,10.7
2020,female,75-79,19.1
2020,female,80-84,37.4
2020,female,85-89,74.8
2020,female,90-94,145.2
2020,female,95-99,250.9
2020,male,0-4,0.8
2020,male,10-14,0.1
2020,male,100+,378.7
2020,male,15-19,0.4
2020,male,20-24,0.6
2020,male,25-29,0.7
2020,male,30-34,0.8
2020,male,35-39,1.0
2020,male,40-44,1.5
2020,male,45-49,2.2
2020,male,5-9,0.1
2020,male,50-54,3.2
2020,male,55-59,4.8
2020,male,60-64,7.2
2020,male,65-69,10.7
2020,male,70-74,17.4
2020,male,75-79,29.5
2020,male,80-84,52.9
2020,male,85-89,99.7
2020,male,90-94,178.1
2020,male,95-99,284.8
2021,female,0-4,0.7
2021,female,10-14,0.1
2021,female,100+,440.7
2021,female,15-19,0.2
2021,female,20-24,0.3
2021,female,25-29,0.3
2021,female,30-34,0.3
2021,female,35-39,0.6
2021,female,40-44,0.8
2021,female,45-49,1.3
2021,female,5-9,0.1
2021,female,50-54,1.9
2021,female,55-59,3.0
2021,female,60-64,4.3
2021,female,65-69,6.7
2021,female,70-74,11.1
2021,female,75-79,19.6
2021,female,80-84,38.9
2021,female,85-89,77.2
2021,female,90-94,152.2
2021,female,95-99,271.2
2021,male,0-4,0.8
2021,male,10-14,0.1
2021,male,100+,475.5
2021,male,15-19,0.4
2021,male,20-24,0.6
2021,male,25-29,0.7
2021,male,30-34,0.8
2021,male,35-39,1.0
2021,male,40-44,1.4
2021,male,45-49,2.1
2021,male,5-9,0.1
2021,male,50-54,3.3
2021,male,55-59,4.9
2021,male,60-64,7.1
2021,male,65-69,11.0
2021,male,70-74,17.6
2021,male,75-79,29.7
2021,male,80-84,55.2
2021,male,85-89,102.6
2021,male,90-94,187.4
2021,male,95-99,294.2
2022,female,0-4,0.7
2022,female,10-14,0.1
2022,female,100+,467.1
2022,female,15-19,0.2
2022,female,20-24,0.3
2022,female,25-29,0.3
2022,female,30-34,0.4
2022,female,35-39,0.6
2022,female,40-44,0.9
2022,female,45-49,1.4
2022,female,5-9,0.1
2022,female,50-54,2.1
2022,female,55-59,3.1
2022,female,60-64,4.5
2022,female,65-69,7.1
2022,female,70-74,11.6
2022,female,75-79,21.0
2022,female,80-84,41.3
2022,female,85-89,85.3
2022,female,90-94,169.5
2022,female,95-99,293.7
2022,male,0-4,0.8
2022,male,10-14,0.1
2022,male,100+,489.3
2022,male,15-19,0.4
2022,male,20-24,0.6
2022,male,25-29,0.7
2022,male,30-34,0.9
2022,male,35-39,1.1
2022,male,40-44,1.5
2022,male,45-49,2.3
2022,male,5-9,0.1
2022,male,50-54,3.4
2022,male,55-59,5.1
2022,male,60-64,7.9
2022,male,65-69,11.9
2022,male,70-74,18.9
2022,male,75-79,32.4
2022,male,80-84,59.7
2022,male,85-89,112.2
2022,male,90-94,207.1
2022,male,95-99,313.8
2023,female,0-4,0.6
2023,female,10-14,0.1
2023,female,100+,431.2
2023,female,15-19,0.2
2023,female,20-24,0.2
2023,female,25-29,0.3
2023,female,30-34,0.4
2023,female,35-39,0.5
2023,female,40-44,0.9
2023,female,45-49,1.3
2023,female,5-9,0.1
2023,female,50-54,2.0
2023,female,55-59,2.9
2023,female,60-64,4.4
2023,female,65-69,6.8
2023,female,70-74,10.9
2023,female,75-79,19.8
2023,female,80-84,39.8
2023,female,85-89,78.0
2023,female,90-94,157.5
2023,female,95-99,272.8
2023,male,0-4,0.8
2023,male,10-14,0.1
2023,male,100+,398.1
2023,male,15-19,0.4
2023,male,20-24,0.5
