year,state,sex,age,persons
2010,nt,female,12,1579
2010,nt,female,13,1548
2010,nt,female,14,1520
2010,nt,female,15,1572
2010,nt,female,16,1527
2010,nt,female,17,1565
2010,nt,female,18,1474
2010,nt,female,19,1625
2010,nt,female,20,1637
2010,nt,female,21,1610
2010,nt,female,22,1721
2010,nt,female,23,1862
2010,nt,female,24,2021
2010,nt,female,25,2075
2010,nt,female,26,2101
2010,nt,female,27,2155
2010,nt,female,28,2054
2010,nt,female,29,2086
2010,nt,female,30,1920
2010,nt,female,31,1817
2010,nt,female,32,1800
2010,nt,female,33,1760
2010,nt,female,34,1853
2010,nt,female,35,1750
2010,nt,female,36,1785
2010,nt,female,37,1788
2010,nt,female,38,1803
2010,nt,female,39,1916
2010,nt,female,40,1781
2010,nt,female,41,1696
2010,nt,female,42,1623
2010,nt,female,43,1585
2010,nt,female,44,1596
2010,nt,female,45,1503
2010,nt,female,46,1549
2010,nt,female,47,1562
2010,nt,female,48,1529
2010,nt,female,49,1590
2010,nt,female,50,1439
2010,nt,female,51,1425
2010,nt,female,52,1439
2010,nt,female,53,1362
2010,nt,female,54,1349
2010,nt,female,55,1307
2010,nt,female,56,1214
2010,nt,female,57,1169
2010,nt,female,58,1058
2010,nt,female,59,1080
2010,nt,female,60,911
2010,nt,female,61,877
2010,nt,female,62,800
2010,nt,female,63,760
2010,nt,female,64,661
2010,nt,female,65,565
2010,nt,female,66,541
2010,nt,female,67,447
2010,nt,female,68,423
2010,nt,female,69,447
2010,nt,female,70,363
2010,nt,female,71,285
2010,nt,female,72,275
2010,nt,female,73,233
2010,nt,female,74,221
2010,nt,female,75,207
2010,nt,female,76,195
2010,nt,female,77,161
2010,nt,female,78,147
2010,nt,female,79,145
2010,nt,female,80,125
2010,nt,female,81,130
2010,nt,female,82,124
2010,nt,female,83,91
2010,nt,female,84,75
2010,nt,female,85,79
2010,nt,female,86,59
2010,nt,female,87,59
2010,nt,female,88,45
2010,nt,female,89,44
2010,nt,female,90,31
2010,nt,female,91,21
2010,nt,female,92,21
2010,nt,female,93,17
2010,nt,female,94,17
2010,nt,female,95,8
2010,nt,female,96,3
2010,nt,female,97,3
2010,nt,female,98,3
2010,nt,female,99,1
2010,nt,female,100,0
2010,nt,male,0,2001
2010,nt,male,1,1942
2010,nt,male,2,1941
2010,nt,male,3,1899
2010,nt,male,4,1895
2010,nt,male,5,1852
2010,nt,male,6,1742
2010,nt,male,7,1801
2010,nt,male,8,1738
2010,nt,male,9,1853
2010,nt,male,10,1734
2010,nt,male,11,1699
2010,nt,male,12,1789
2010,nt,male,13,1691
2010,nt,male,14,1709
2010,nt,male,15,1807
2010,nt,male,16,1704
2010,nt,male,17,1677
2010,nt,male,18,1683
2010,nt,male,19,1864
2010,nt,male,20,2032
2010,nt,male,21,2076
2010,nt,male,22,2114
2010,nt,male,23,2228
2010,nt,male,24,2341
2010,nt,male,25,2271
2010,nt,male,26,2301
2010,nt,male,27,2307
2010,nt,male,28,2181
2010,nt,male,29,2245
2010,nt,male,30,2013
2010,nt,male,31,1939
2010,nt,male,32,1826
2010,nt,male,33,1828
2010,nt,male,34,1952
2010,nt,male,35,1866
2010,nt,male,36,1875
2010,nt,male,37,1888
2010,nt,male,38,1971
2010,nt,male,39,2095
2010,nt,male,40,1895
2010,nt,male,41,1760
2010,nt,male,42,1693
2010,nt,male,43,1689
2010,nt,male,44,1736
2010,nt,male,45,1662
2010,nt,male,46,1619
2010,nt,male,47,1733
2010,nt,male,48,1724
2010,nt,male,49,1700
2010,nt,male,50,1564
2010,nt,male,51,1555
2010,nt,male,52,1516
2010,nt,male,53,1470
2010,nt,male,54,1461
2010,nt,male,55,1408
2010,nt,male,56,1376
2010,nt,male,57,1298
2010,nt,male,58,1268
2010,nt,male,59,1279
2010,nt,male,60,1182
2010,nt,male,61,1093
2010,nt,male,62,1029
2010,nt,male,63,1038
2010,nt,male,64,859
2010,nt,male,65,760
2010,nt,male,66,652
2010,nt,male,67,578
2010,nt,male,68,560
2010,nt,male,69,570
2010,nt,male,70,503
2010,nt,male,71,361
2010,nt,male,72,357
2010,nt,male,73,301
2010,nt,male,74,269
2010,nt,male,75,240
2010,nt,male,76,177
2010,nt,male,77,162
2010,nt,male,78,158
2010,nt,male,79,155
2010,nt,male,80,149
2010,nt,male,81,123
2010,nt,male,82,101
2010,nt,male,83,87
2010,nt,male,84,61
2010,nt,male,85,39
2010,nt,male,86,39
2010,nt,male,87,33
2010,nt,male,88,34
2010,nt,male,89,13
2010,nt,male,90,17
2010,nt,male,91,12
2010,nt,male,92,5
2010,nt,male,93,3
2010,nt,male,94,7
2010,nt,male,95,6
2010,nt,male,96,1
2010,nt,male,97,4
2010,nt,male,98,1
2010,nt,male,99,0
2010,nt,male,100,1
2010,qld,female,0,30003
2010,qld,female,1,29895
2010,qld,female,2,29629
2010,qld,female,3,28893
2010,qld,female,4,29035
2010,qld,female,5,28331
2010,qld,female,6,27935
2010,qld,female,7,27286
2010,qld,female,8,27819
2010,qld,female,9,28346
2010,qld,female,10,27976
2010,qld,female,11,28174
2010,qld,female,12,28550
2010,qld,female,13,28722
2010,qld,female,14,28753
2010,qld,female,15,29344
2010,qld,female,16,28976
2010,qld,female,17,28981
2010,qld,female,18,30054
2010,qld,female,19,30438
2010,qld,female,20,31266
2010,qld,female,21,31014
2010,qld,female,22,30921
2010,qld,female,23,31560
2010,qld,female,24,32079
2010,qld,female,25,32485
2010,qld,female,26,32069
2010,qld,female,27,32191
2010,qld,female,28,30955
2010,qld,female,29,30602
2010,qld,female,30,30149
2010,qld,female,31,29452
2010,qld,female,32,29226
2010,qld,female,33,29384
2010,qld,female,34,29866
2010,qld,female,35,30215
2010,qld,female,36,31127
2010,qld,female,37,32680
2010,qld,female,38,33957
2010,qld,female,39,34386
2010,qld,female,40,32556
2010,qld,female,41,31911
2010,qld,female,42,30639
2010,qld,female,43,30241
2010,qld,female,44,30067
2010,qld,female,45,30559
2010,qld,female,46,31456
2010,qld,female,47,31976
2010,qld,female,48,31960
2010,qld,female,49,31520
2010,qld,female,50,30465
2010,qld,female,51,29869
2010,qld,female,52,29170
2010,qld,female,53,28181
2010,qld,female,54,27695
2010,qld,female,55,27171
2010,qld,female,56,26419
2010,qld,female,57,25994
2010,qld,female,58,25197
2010,qld,female,59,24978
2010,qld,female,60,24798
2010,qld,female,61,23954
2010,qld,female,62,23811
2010,qld,female,63,24775
2010,qld,female,64,20988
2010,qld,female,65,20647
2010,qld,female,66,19295
2010,qld,female,67,17414
2010,qld,female,68,17001
2010,qld,female,69,15612
2010,qld,female,70,14992
2010,qld,female,71,14200
2010,qld,female,72,12931
2010,qld,female,73,12633
2010,qld,female,74,11948
2010,qld,female,75,11460
2010,qld,female,76,10602
2010,qld,female,77,10384
2010,qld,female,78,9976
2010,qld,female,79,10175
2010,qld,female,80,9711
2010,qld,female,81,9186
2010,qld,female,82,8824
2010,qld,female,83,7983
2010,qld,female,84,7704
2010,qld,female,85,7088
2010,qld,female,86,6254
2010,qld,female,87,5633
2010,qld,female,88,5084
2010,qld,female,89,4382
2010,qld,female,90,3577
2010,qld,female,91,2660
2010,qld,female,92,2219
2010,qld,female,93,1774
2010,qld,female,94,1399
2010,qld,female,95,1124
2010,qld,female,96,782
2010,qld,female,97,545
2010,qld,female,98,393
2010,qld,female,99,264
2010,qld,female,100,411
2010,qld,male,0,31789
2010,qld,male,1,31725
2010,qld,male,2,31530
2010,qld,male,3,30952
2010,qld,male,4,30745
2010,qld,male,5,30093
2010,qld,male,6,29239
2010,qld,male,7,28789
2010,qld,male,8,29339
2010,qld,male,9,29912
2010,qld,male,10,29659
2010,qld,male,11,29492
2010,qld,male,12,29772
2010,qld,male,13,29811
2010,qld,male,14,30258
2010,qld,male,15,30920
2010,qld,male,16,30723
2010,qld,male,17,30703
2010,qld,male,18,30688
2010,qld,male,19,31295
2010,qld,male,20,32130
2010,qld,male,21,31730
2010,qld,male,22,31921
2010,qld,male,23,32678
2010,qld,male,24,33220
2010,qld,male,25,33366
2010,qld,male,26,33150
2010,qld,male,27,33220
2010,qld,male,28,32164
2010,qld,male,29,31508
2010,qld,male,30,30151
2010,qld,male,31,29227
2010,qld,male,32,28648
2010,qld,male,33,29023
2010,qld,male,34,29176
2010,qld,male,35,30128
2010,qld,male,36,31262
2010,qld,male,37,32008
2010,qld,male,38,33083
2010,qld,male,39,33831
2010,qld,male,40,32118
2010,qld,male,41,31286
2010,qld,male,42,30038
2010,qld,male,43,29821
2010,qld,male,44,29452
2010,qld,male,45,29775
2010,qld,male,46,30931
2010,qld,male,47,30857
2010,qld,male,48,31130
2010,qld,male,49,30965
2010,qld,male,50,29889
2010,qld,male,51,29204
