year,state,sex,age_band,deaths
2011,wa,female,75-79,540
2011,wa,female,80-84,943
2011,wa,female,85-89,1205
2011,wa,female,90-94,975
2011,wa,female,95-99,481
2011,wa,female,not_stated,0
2011,wa,male,0-4,63
2011,wa,male,10-14,2
2011,wa,male,100+,17
2011,wa,male,15-19,46
2011,wa,male,20-24,61
2011,wa,male,25-29,85
2011,wa,male,30-34,88
2011,wa,male,35-39,111
2011,wa,male,40-44,131
2011,wa,male,45-49,206
2011,wa,male,5-9,17
2011,wa,male,50-54,258
2011,wa,male,55-59,358
2011,wa,male,60-64,448
2011,wa,male,65-69,521
2011,wa,male,70-74,678
2011,wa,male,75-79,879
2011,wa,male,80-84,1075
2011,wa,male,85-89,979
2011,wa,male,90-94,514
2011,wa,male,95-99,173
2011,wa,male,not_stated,0
2012,act,female,0-4,12
2012,act,female,10-14,1
2012,act,female,100+,8
2012,act,female,15-19,3
2012,act,female,20-24,1
2012,act,female,25-29,1
2012,act,female,30-34,2
2012,act,female,35-39,2
2012,act,female,40-44,13
2012,act,female,45-49,8
2012,act,female,5-9,1
2012,act,female,50-54,22
2012,act,female,55-59,28
2012,act,female,60-64,31
2012,act,female,65-69,45
2012,act,female,70-74,46
2012,act,female,75-79,70
2012,act,female,80-84,132
2012,act,female,85-89,200
2012,act,female,90-94,151
2012,act,female,95-99,68
2012,act,female,not_stated,0
2012,act,male,0-4,10
2012,act,male,10-14,2
2012,act,male,100+,2
2012,act,male,15-19,1
2012,act,male,20-24,6
2012,act,male,25-29,11
2012,act,male,30-34,4
2012,act,male,35-39,8
2012,act,male,40-44,7
2012,act,male,45-49,24
2012,act,male,5-9,0
2012,act,male,50-54,39
2012,act,male,55-59,32
2012,act,male,60-64,62
2012,act,male,65-69,73
2012,act,male,70-74,73
2012,act,male,75-79,117
2012,act,male,80-84,129
2012,act,male,85-89,136
2012,act,male,90-94,88
2012,act,male,95-99,26
2012,act,male,not_stated,0
2012,nsw,female,0-4,150
2012,nsw,female,10-14,15
2012,nsw,female,100+,374
2012,nsw,female,15-19,46
2012,nsw,female,20-24,53
2012,nsw,female,25-29,49
2012,nsw,female,30-34,124
2012,nsw,female,35-39,123
2012,nsw,female,40-44,234
2012,nsw,female,45-49,316
2012,nsw,female,5-9,24
2012,nsw,female,50-54,485
2012,nsw,female,55-59,668
2012,nsw,female,60-64,981
2012,nsw,female,65-69,1244
2012,nsw,female,70-74,1683
2012,nsw,female,75-79,2324
2012,nsw,female,80-84,3818
2012,nsw,female,85-89,5223
2012,nsw,female,90-94,4350
2012,nsw,female,95-99,1923
2012,nsw,female,not_stated,2
2012,nsw,male,0-4,208
2012,nsw,male,10-14,21
2012,nsw,male,100+,78
2012,nsw,male,15-19,93
2012,nsw,male,20-24,143
2012,nsw,male,25-29,163
2012,nsw,male,30-34,187
2012,nsw,male,35-39,246
2012,nsw,male,40-44,352
2012,nsw,male,45-49,525
2012,nsw,male,5-9,23
2012,nsw,male,50-54,818
2012,nsw,male,55-59,1077
2012,nsw,male,60-64,1513
2012,nsw,male,65-69,2092
2012,nsw,male,70-74,2550
2012,nsw,male,75-79,3179
2012,nsw,male,80-84,4363
2012,nsw,male,85-89,4331
2012,nsw,male,90-94,2472
2012,nsw,male,95-99,671
2012,nsw,male,not_stated,1
2012,nt,female,0-4,19
2012,nt,female,10-14,4
2012,nt,female,100+,0
2012,nt,female,15-19,7
2012,nt,female,20-24,6
2012,nt,female,25-29,6
2012,nt,female,30-34,5
2012,nt,female,35-39,17
2012,nt,female,40-44,26
2012,nt,female,45-49,21
2012,nt,female,5-9,1
2012,nt,female,50-54,33
2012,nt,female,55-59,35
2012,nt,female,60-64,35
2012,nt,female,65-69,27
2012,nt,female,70-74,37
2012,nt,female,75-79,30
2012,nt,female,80-84,28
2012,nt,female,85-89,24
