year,state,sex,age_band,persons
2010,wa,female,50-54,76767
2010,wa,female,55-59,68007
2010,wa,female,60-64,58814
2010,wa,female,65-69,43307
2010,wa,female,70-74,33994
2010,wa,female,75-79,27117
2010,wa,female,80-84,21833
2010,wa,female,85+,21702
2010,wa,male,0-4,78470
2010,wa,male,10-14,75590
2010,wa,male,15-19,78959
2010,wa,male,20-24,90043
2010,wa,male,25-29,91149
2010,wa,male,30-34,80860
2010,wa,male,35-39,85585
2010,wa,male,40-44,84227
2010,wa,male,45-49,83120
2010,wa,male,5-9,72976
2010,wa,male,50-54,77151
2010,wa,male,55-59,68188
2010,wa,male,60-64,60456
2010,wa,male,65-69,43814
2010,wa,male,70-74,32633
2010,wa,male,75-79,23252
2010,wa,male,80-84,16359
2010,wa,male,85+,11232
