period_start,period_end,state,sex,age,qx
2018,2020,nsw,female,94,0.17157
2018,2020,nsw,female,95,0.18698
2018,2020,nsw,female,96,0.2057
2018,2020,nsw,female,97,0.22655
2018,2020,nsw,female,98,0.24204
2018,2020,nsw,female,99,0.27594
2018,2020,nsw,female,100,0.29244
2018,2020,nsw,male,0,0.00339
2018,2020,nsw,male,1,0.00026
2018,2020,nsw,male,2,0.00013
2018,2020,nsw,male,3,0.00011
2018,2020,nsw,male,4,0.00009
2018,2020,nsw,male,5,0.00007
2018,2020,nsw,male,6,0.00007
2018,2020,nsw,male,7,0.00006
2018,2020,nsw,male,8,0.00006
2018,2020,nsw,male,9,0.00006
2018,2020,nsw,male,10,0.00006
2018,2020,nsw,male,11,0.00008
2018,2020,nsw,male,12,0.0001
2018,2020,nsw,male,13,0.00013
2018,2020,nsw,male,14,0.00018
2018,2020,nsw,male,15,0.00025
2018,2020,nsw,male,16,0.00033
2018,2020,nsw,male,17,0.00041
2018,2020,nsw,male,18,0.00048
2018,2020,nsw,male,19,0.00053
2018,2020,nsw,male,20,0.00056
2018,2020,nsw,male,21,0.00058
2018,2020,nsw,male,22,0.00058
2018,2020,nsw,male,23,0.00059
2018,2020,nsw,male,24,0.00059
2018,2020,nsw,male,25,0.00059
2018,2020,nsw,male,26,0.00059
2018,2020,nsw,male,27,0.0006
2018,2020,nsw,male,28,0.00062
2018,2020,nsw,male,29,0.00064
2018,2020,nsw,male,30,0.00065
2018,2020,nsw,male,31,0.00068
2018,2020,nsw,male,32,0.00071
2018,2020,nsw,male,33,0.00075
2018,2020,nsw,male,34,0.0008
2018,2020,nsw,male,35,0.00085
2018,2020,nsw,male,36,0.00092
2018,2020,nsw,male,37,0.00099
2018,2020,nsw,male,38,0.00106
2018,2020,nsw,male,39,0.00113
2018,2020,nsw,male,40,0.00121
2018,2020,nsw,male,41,0.0013
2018,2020,nsw,male,42,0.00139
2018,2020,nsw,male,43,0.00151
2018,2020,nsw,male,44,0.00165
2018,2020,nsw,male,45,0.00181
2018,2020,nsw,male,46,0.00198
2018,2020,nsw,male,47,0.00217
2018,2020,nsw,male,48,0.00236
2018,2020,nsw,male,49,0.00257
2018,2020,nsw,male,50,0.00279
2018,2020,nsw,male,51,0.00304
2018,2020,nsw,male,52,0.00332
2018,2020,nsw,male,53,0.00364
2018,2020,nsw,male,54,0.004
2018,2020,nsw,male,55,0.00439
2018,2020,nsw,male,56,0.00482
2018,2020,nsw,male,57,0.00528
2018,2020,nsw,male,58,0.00577
2018,2020,nsw,male,59,0.00629
2018,2020,nsw,male,60,0.00683
2018,2020,nsw,male,61,0.00739
2018,2020,nsw,male,62,0.008
2018,2020,nsw,male,63,0.00865
2018,2020,nsw,male,64,0.00931
2018,2020,nsw,male,65,0.01
2018,2020,nsw,male,66,0.01076
2018,2020,nsw,male,67,0.01161
2018,2020,nsw,male,68,0.0126
2018,2020,nsw,male,69,0.01376
2018,2020,nsw,male,70,0.01508
2018,2020,nsw,male,71,0.01655
2018,2020,nsw,male,72,0.0182
2018,2020,nsw,male,73,0.02006
2018,2020,nsw,male,74,0.02217
2018,2020,nsw,male,75,0.02461
2018,2020,nsw,male,76,0.02744
2018,2020,nsw,male,77,0.03067
2018,2020,nsw,male,78,0.03445
2018,2020,nsw,male,79,0.03878
2018,2020,nsw,male,80,0.04367
2018,2020,nsw,male,81,0.04915
2018,2020,nsw,male,82,0.05532
2018,2020,nsw,male,83,0.06235
2018,2020,nsw,male,84,0.0704
2018,2020,nsw,male,85,0.0796
2018,2020,nsw,male,86,0.08989
2018,2020,nsw,male,87,0.10141
2018,2020,nsw,male,88,0.11429
2018,2020,nsw,male,89,0.12862
2018,2020,nsw,male,90,0.14393
2018,2020,nsw,male,91,0.15969
2018,2020,nsw,male,92,0.1753
2018,2020,nsw,male,93,0.18991
2018,2020,nsw,male,94,0.20256
2018,2020,nsw,male,95,0.21532
2018,2020,nsw,male,96,0.22876
2018,2020,nsw,male,97,0.24288
2018,2020,nsw,male,98,0.26301
2018,2020,nsw,male,99,0.29365
2018,2020,nsw,male,100,0.3205
2018,2020,nt,female,0,0.00636
2018,2020,nt,female,1,0.00023
2018,2020,nt,female,2,0.00017
2018,2020,nt,female,3,0.00016
2018,2020,nt,female,4,0.00015
2018,2020,nt,female,5,0.00015
2018,2020,nt,female,6,0.00016
2018,2020,nt,female,7,0.00018
2018,2020,nt,female,8,0.0002
2018,2020,nt,female,9,0.00023
2018,2020,nt,female,10,0.00027
2018,2020,nt,female,11,0.00031
2018,2020,nt,female,12,0.00035
2018,2020,nt,female,13,0.00041
2018,2020,nt,female,14,0.00046
2018,2020,nt,female,15,0.00052
2018,2020,nt,female,16,0.00057
2018,2020,nt,female,17,0.00063
2018,2020,nt,female,18,0.00067
2018,2020,nt,female,19,0.0007
2018,2020,nt,female,20,0.00072
2018,2020,nt,female,21,0.00073
2018,2020,nt,female,22,0.00073
2018,2020,nt,female,23,0.00074
2018,2020,nt,female,24,0.00074
2018,2020,nt,female,25,0.00074
2018,2020,nt,female,26,0.00075
2018,2020,nt,female,27,0.00077
2018,2020,nt,female,28,0.00079
2018,2020,nt,female,29,0.00081
2018,2020,nt,female,30,0.00083
2018,2020,nt,female,31,0.00086
2018,2020,nt,female,32,0.0009
2018,2020,nt,female,33,0.00095
2018,2020,nt,female,34,0.00101
2018,2020,nt,female,35,0.00108
2018,2020,nt,female,36,0.00115
2018,2020,nt,female,37,0.00123
2018,2020,nt,female,38,0.00133
2018,2020,nt,female,39,0.00142
2018,2020,nt,female,40,0.00153
2018,2020,nt,female,41,0.00166
2018,2020,nt,female,42,0.00182
2018,2020,nt,female,43,0.00198
2018,2020,nt,female,44,0.00216
2018,2020,nt,female,45,0.00235
2018,2020,nt,female,46,0.00255
2018,2020,nt,female,47,0.00277
2018,2020,nt,female,48,0.003
2018,2020,nt,female,49,0.00324
2018,2020,nt,female,50,0.0035
2018,2020,nt,female,51,0.00378
2018,2020,nt,female,52,0.0041
2018,2020,nt,female,53,0.00444
2018,2020,nt,female,54,0.00479
2018,2020,nt,female,55,0.00515
2018,2020,nt,female,56,0.00552
2018,2020,nt,female,57,0.00593
2018,2020,nt,female,58,0.00637
2018,2020,nt,female,59,0.00687
2018,2020,nt,female,60,0.00744
2018,2020,nt,female,61,0.00806
2018,2020,nt,female,62,0.00864
2018,2020,nt,female,63,0.00921
2018,2020,nt,female,64,0.00978
2018,2020,nt,female,65,0.01041
2018,2020,nt,female,66,0.01114
2018,2020,nt,female,67,0.01196
2018,2020,nt,female,68,0.01289
2018,2020,nt,female,69,0.01393
2018,2020,nt,female,70,0.01507
2018,2020,nt,female,71,0.0163
2018,2020,nt,female,72,0.01767
2018,2020,nt,female,73,0.01913
2018,2020,nt,female,74,0.02073
2018,2020,nt,female,75,0.02248
2018,2020,nt,female,76,0.02437
2018,2020,nt,female,77,0.02645
2018,2020,nt,female,78,0.02894
2018,2020,nt,female,79,0.0319
2018,2020,nt,female,80,0.03541
2018,2020,nt,female,81,0.0395
2018,2020,nt,female,82,0.04413
2018,2020,nt,female,83,0.04947
2018,2020,nt,female,84,0.05575
2018,2020,nt,female,85,0.06293
2018,2020,nt,female,86,0.07114
2018,2020,nt,female,87,0.08071
2018,2020,nt,female,88,0.09168
2018,2020,nt,female,89,0.10459
2018,2020,nt,female,90,0.1195
2018,2020,nt,female,91,0.13625
2018,2020,nt,female,92,0.15399
2018,2020,nt,female,93,0.17311
2018,2020,nt,female,94,0.19368
2018,2020,nt,female,95,0.21486
2018,2020,nt,female,96,0.23989
2018,2020,nt,female,97,0.26733
2018,2020,nt,female,98,0.28983
2018,2020,nt,female,99,0.31071
2018,2020,nt,female,100,0.3293
2018,2020,nt,male,0,0.00905
2018,2020,nt,male,1,0.00025
2018,2020,nt,male,2,0.00023
2018,2020,nt,male,3,0.00018
2018,2020,nt,male,4,0.00018
2018,2020,nt,male,5,0.00018
2018,2020,nt,male,6,0.0002
2018,2020,nt,male,7,0.00021
2018,2020,nt,male,8,0.00022
2018,2020,nt,male,9,0.00025
2018,2020,nt,male,10,0.00027
2018,2020,nt,male,11,0.00032
2018,2020,nt,male,12,0.00036
2018,2020,nt,male,13,0.00042
2018,2020,nt,male,14,0.0005
2018,2020,nt,male,15,0.0006
2018,2020,nt,male,16,0.00071
2018,2020,nt,male,17,0.00084
2018,2020,nt,male,18,0.00094
2018,2020,nt,male,19,0.00103
2018,2020,nt,male,20,0.0011
2018,2020,nt,male,21,0.00115
2018,2020,nt,male,22,0.00119
2018,2020,nt,male,23,0.00122
2018,2020,nt,male,24,0.00124
2018,2020,nt,male,25,0.00126
2018,2020,nt,male,26,0.00129
2018,2020,nt,male,27,0.00132
2018,2020,nt,male,28,0.00137
2018,2020,nt,male,29,0.00141
2018,2020,nt,male,30,0.00147
2018,2020,nt,male,31,0.00153
2018,2020,nt,male,32,0.00159
2018,2020,nt,male,33,0.00167
2018,2020,nt,male,34,0.00175
2018,2020,nt,male,35,0.00184
2018,2020,nt,male,36,0.00193
2018,2020,nt,male,37,0.00202
2018,2020,nt,male,38,0.00211
2018,2020,nt,male,39,0.00221
2018,2020,nt,male,40,0.00231
2018,2020,nt,male,41,0.00242
2018,2020,nt,male,42,0.00254
2018,2020,nt,male,43,0.00269
2018,2020,nt,male,44,0.00286
2018,2020,nt,male,45,0.00305
2018,2020,nt,male,46,0.00325
2018,2020,nt,male,47,0.00346
2018,2020,nt,male,48,0.00367
2018,2020,nt,male,49,0.00388
2018,2020,nt,male,50,0.00409
2018,2020,nt,male,51,0.00433
2018,2020,nt,male,52,0.0046
2018,2020,nt,male,53,0.00491
2018,2020,nt,male,54,0.00527
2018,2020,nt,male,55,0.00569
2018,2020,nt,male,56,0.00618
2018,2020,nt,male,57,0.00674
2018,2020,nt,male,58,0.00739
2018,2020,nt,male,59,0.00813
2018,2020,nt,male,60,0.00895
2018,2020,nt,male,61,0.00988
2018,2020,nt,male,62,0.01092
2018,2020,nt,male,63,0.0121
2018,2020,nt,male,64,0.0134
2018,2020,nt,male,65,0.01485
2018,2020,nt,male,66,0.01647
2018,2020,nt,male,67,0.01828
2018,2020,nt,male,68,0.02034
2018,2020,nt,male,69,0.02267
2018,2020,nt,male,70,0.02525
2018,2020,nt,male,71,0.02809
2018,2020,nt,male,72,0.03119
2018,2020,nt,male,73,0.03455
2018,2020,nt,male,74,0.0382
2018,2020,nt,male,75,0.04222
2018,2020,nt,male,76,0.04659
2018,2020,nt,male,77,0.05135
2018,2020,nt,male,78,0.05655
2018,2020,nt,male,79,0.06212
2018,2020,nt,male,80,0.068
2018,2020,nt,male,81,0.07415
2018,2020,nt,male,82,0.08056
2018,2020,nt,male,83,0.08723
2018,2020,nt,male,84,0.09422
2018,2020,nt,male,85,0.10153
2018,2020,nt,male,86,0.10902
2018,2020,nt,male,87,0.11676
2018,2020,nt,male,88,0.12479
2018,2020,nt,male,89,0.13318
2018,2020,nt,male,90,0.14151
2018,2020,nt,male,91,0.16043
2018,2020,nt,male,92,0.18142
2018,2020,nt,male,93,0.20171
2018,2020,nt,male,94,0.22453
2018,2020,nt,male,95,0.24221
2018,2020,nt,male,96,0.26071
2018,2020,nt,male,97,0.28418
2018,2020,nt,male,98,0.30678
2018,2020,nt,male,99,0.33565
2018,2020,nt,male,100,0.36634
2018,2020,qld,female,0,0.00352
2018,2020,qld,female,1,0.00024
2018,2020,qld,female,2,0.00013
2018,2020,qld,female,3,0.00011
2018,2020,qld,female,4,0.00009
2018,2020,qld,female,5,0.00008
2018,2020,qld,female,6,0.00007
2018,2020,qld,female,7,0.00006
2018,2020,qld,female,8,0.00006
2018,2020,qld,female,9,0.00006
2018,2020,qld,female,10,0.00006
2018,2020,qld,female,11,0.00008
2018,2020,qld,female,12,0.00009
2018,2020,qld,female,13,0.00011
2018,2020,qld,female,14,0.00014
2018,2020,qld,female,15,0.00016
2018,2020,qld,female,16,0.00019
2018,2020,qld,female,17,0.00022
2018,2020,qld,female,18,0.00023
2018,2020,qld,female,19,0.00024
2018,2020,qld,female,20,0.00025
2018,2020,qld,female,21,0.00025
2018,2020,qld,female,22,0.00025
2018,2020,qld,female,23,0.00025
2018,2020,qld,female,24,0.00026
2018,2020,qld,female,25,0.00027
2018,2020,qld,female,26,0.00028
2018,2020,qld,female,27,0.0003
2018,2020,qld,female,28,0.00032
2018,2020,qld,female,29,0.00033
2018,2020,qld,female,30,0.00035
2018,2020,qld,female,31,0.00038
2018,2020,qld,female,32,0.00041
2018,2020,qld,female,33,0.00044
2018,2020,qld,female,34,0.00048
2018,2020,qld,female,35,0.00053
2018,2020,qld,female,36,0.00057
2018,2020,qld,female,37,0.00062
2018,2020,qld,female,38,0.00067
2018,2020,qld,female,39,0.00072
2018,2020,qld,female,40,0.00077
2018,2020,qld,female,41,0.00084
2018,2020,qld,female,42,0.00092
2018,2020,qld,female,43,0.00101
2018,2020,qld,female,44,0.0011
2018,2020,qld,female,45,0.00118
2018,2020,qld,female,46,0.00128
2018,2020,qld,female,47,0.00139
2018,2020,qld,female,48,0.0015
2018,2020,qld,female,49,0.00162
2018,2020,qld,female,50,0.00174
2018,2020,qld,female,51,0.00189
2018,2020,qld,female,52,0.00205
2018,2020,qld,female,53,0.00224
2018,2020,qld,female,54,0.00243
2018,2020,qld,female,55,0.00262
2018,2020,qld,female,56,0.00281
2018,2020,qld,female,57,0.00302
2018,2020,qld,female,58,0.00326
2018,2020,qld,female,59,0.00354
2018,2020,qld,female,60,0.00388
2018,2020,qld,female,61,0.00426
2018,2020,qld,female,62,0.00461
2018,2020,qld,female,63,0.00493
2018,2020,qld,female,64,0.00526
2018,2020,qld,female,65,0.00566
2018,2020,qld,female,66,0.00616
2018,2020,qld,female,67,0.00678
2018,2020,qld,female,68,0.00752
2018,2020,qld,female,69,0.00839
2018,2020,qld,female,70,0.0094
2018,2020,qld,female,71,0.01054
2018,2020,qld,female,72,0.01184
2018,2020,qld,female,73,0.01328
2018,2020,qld,female,74,0.01491
2018,2020,qld,female,75,0.01675
2018,2020,qld,female,76,0.01877
2018,2020,qld,female,77,0.02103
2018,2020,qld,female,78,0.02374
2018,2020,qld,female,79,0.02696
2018,2020,qld,female,80,0.03073
2018,2020,qld,female,81,0.0351
2018,2020,qld,female,82,0.03997
2018,2020,qld,female,83,0.0455
2018,2020,qld,female,84,0.05185
2018,2020,qld,female,85,0.05892
2018,2020,qld,female,86,0.06679
2018,2020,qld,female,87,0.07567
2018,2020,qld,female,88,0.08555
