year,state,sex,age_band,rate_per_1000,status
2010,vic,female,40-44,0.7,published
2010,vic,female,45-49,1.3,published
2010,vic,female,5-9,0.1,published
2010,vic,female,50-54,1.9,published
2010,vic,female,55-59,3.0,published
2010,vic,female,60-64,4.6,published
2010,vic,female,65-69,6.7,published
2010,vic,female,70-74,12.9,published
2010,vic,female,75-79,22.9,published
2010,vic,female,80-84,44.9,published
2010,vic,female,85-89,92.3,published
2010,vic,female,90-94,173.7,published
2010,vic,female,95-99,296.9,published
2010,vic,male,0-4,0.9,published
2010,vic,male,10-14,0.1,published
2010,vic,male,100+,485.5,published
2010,vic,male,15-19,0.5,published
2010,vic,male,20-24,0.6,published
2010,vic,male,25-29,0.6,published
2010,vic,male,30-34,0.8,published
2010,vic,male,35-39,1.0,published
2010,vic,male,40-44,1.4,published
2010,vic,male,45-49,2.2,published
2010,vic,male,5-9,0.2,published
2010,vic,male,50-54,3.1,published
2010,vic,male,55-59,5.0,published
2010,vic,male,60-64,7.6,published
2010,vic,male,65-69,11.8,published
2010,vic,male,70-74,21.4,published
2010,vic,male,75-79,36.7,published
2010,vic,male,80-84,67.9,published
2010,vic,male,85-89,120.9,published
2010,vic,male,90-94,207.0,published
2010,vic,male,95-99,346.3,published
2010,wa,female,0-4,0.7,published
2010,wa,female,10-14,0.1,published
2010,wa,female,100+,416.7,published
2010,wa,female,15-19,0.2,published
2010,wa,female,20-24,0.3,published
2010,wa,female,25-29,0.4,published
2010,wa,female,30-34,0.4,published
2010,wa,female,35-39,0.7,published
2010,wa,female,40-44,0.8,published
2010,wa,female,45-49,1.4,published
2010,wa,female,5-9,0.2,published
2010,wa,female,50-54,2.0,published
2010,wa,female,55-59,3.2,published
2010,wa,female,60-64,4.2,published
2010,wa,female,65-69,6.8,published
2010,wa,female,70-74,13.0,published
2010,wa,female,75-79,19.8,published
2010,wa,female,80-84,41.9,published
2010,wa,female,85-89,85.0,published
2010,wa,female,90-94,157.0,published
2010,wa,female,95-99,300.7,published
2010,wa,male,0-4,1.2,published
2010,wa,male,10-14,0.1,published
2010,wa,male,100+,588.2,published
2010,wa,male,15-19,0.5,published
2010,wa,male,20-24,0.7,published
2010,wa,male,25-29,0.9,published
2010,wa,male,30-34,1.2,published
2010,wa,male,35-39,1.3,published
2010,wa,male,40-44,1.8,published
2010,wa,male,45-49,2.2,published
2010,wa,male,5-9,0.1,published
2010,wa,male,50-54,3.4,published
2010,wa,male,55-59,4.9,published
2010,wa,male,60-64,7.2,published
2010,wa,male,65-69,12.7,published
2010,wa,male,70-74,21.4,published
2010,wa,male,75-79,36.9,published
2010,wa,male,80-84,68.2,published
2010,wa,male,85-89,122.9,published
2010,wa,male,90-94,208.3,published
2010,wa,male,95-99,292.7,published
2011,act,female,0-4,0.5,published
2011,act,female,10-14,0.0,published
2011,act,female,100+,545.5,published
2011,act,female,15-19,0.2,published
2011,act,female,20-24,0.0,published
2011,act,female,25-29,0.3,published
2011,act,female,30-34,0.3,published
2011,act,female,35-39,0.5,published
2011,act,female,40-44,0.5,published
2011,act,female,45-49,0.9,published
2011,act,female,5-9,0.2,published
2011,act,female,50-54,1.8,published
2011,act,female,55-59,3.5,published
2011,act,female,60-64,4.6,published
2011,act,female,65-69,6.9,published
2011,act,female,70-74,11.3,published
2011,act,female,75-79,20.5,published
2011,act,female,80-84,44.8,published
2011,act,female,85-89,88.2,published
2011,act,female,90-94,184.2,published
2011,act,female,95-99,295.3,published
2011,act,male,0-4,0.8,published
2011,act,male,10-14,0.2,published
2011,act,male,100+,500.0,published
2011,act,male,15-19,0.2,published
2011,act,male,20-24,0.1,published
2011,act,male,25-29,0.8,published
2011,act,male,30-34,0.7,published
2011,act,male,35-39,0.5,published
2011,act,male,40-44,1.1,published
2011,act,male,45-49,1.3,published
2011,act,male,5-9,0.2,published
2011,act,male,50-54,2.6,published
2011,act,male,55-59,4.3,published
2011,act,male,60-64,6.8,published
2011,act,male,65-69,10.2,published
2011,act,male,70-74,17.4,published
2011,act,male,75-79,31.1,published
2011,act,male,80-84,64.6,published
2011,act,male,85-89,118.2,published
2011,act,male,90-94,207.8,published
2011,act,male,95-99,333.3,published
2011,nsw,female,0-4,0.9,published
2011,nsw,female,10-14,0.1,published
2011,nsw,female,100+,456.0,published
2011,nsw,female,15-19,0.2,published
2011,nsw,female,20-24,0.3,published
2011,nsw,female,25-29,0.3,published
2011,nsw,female,30-34,0.4,published
2011,nsw,female,35-39,0.6,published
2011,nsw,female,40-44,0.9,published
2011,nsw,female,45-49,1.4,published
2011,nsw,female,5-9,0.1,published
2011,nsw,female,50-54,2.2,published
2011,nsw,female,55-59,3.1,published
2011,nsw,female,60-64,4.8,published
2011,nsw,female,65-69,7.9,published
2011,nsw,female,70-74,13.8,published
2011,nsw,female,75-79,23.4,published
2011,nsw,female,80-84,45.8,published
2011,nsw,female,85-89,90.0,published
2011,nsw,female,90-94,171.1,published
2011,nsw,female,95-99,294.9,published
2011,nsw,male,0-4,1.0,published
2011,nsw,male,10-14,0.1,published
2011,nsw,male,100+,419.6,published
2011,nsw,male,15-19,0.3,published
2011,nsw,male,20-24,0.5,published
2011,nsw,male,25-29,0.6,published
2011,nsw,male,30-34,0.9,published
2011,nsw,male,35-39,1.0,published
2011,nsw,male,40-44,1.4,published
2011,nsw,male,45-49,2.2,published
2011,nsw,male,5-9,0.1,published
2011,nsw,male,50-54,3.4,published
2011,nsw,male,55-59,5.4,published
2011,nsw,male,60-64,8.5,published
2011,nsw,male,65-69,12.8,published
2011,nsw,male,70-74,21.6,published
2011,nsw,male,75-79,38.9,published
2011,nsw,male,80-84,68.5,published
2011,nsw,male,85-89,124.5,published
2011,nsw,male,90-94,219.8,published
2011,nsw,male,95-99,334.0,published
2011,nt,female,0-4,1.9,published
2011,nt,female,10-14,0.5,published
2011,nt,female,100+,,not_published_zero_exposure
2011,nt,female,15-19,0.1,published
2011,nt,female,20-24,1.0,published
2011,nt,female,25-29,0.9,published
2011,nt,female,30-34,1.1,published
2011,nt,female,35-39,1.4,published
2011,nt,female,40-44,2.3,published
2011,nt,female,45-49,4.2,published
2011,nt,female,5-9,0.3,published
2011,nt,female,50-54,4.0,published
2011,nt,female,55-59,7.1,published
2011,nt,female,60-64,6.6,published
2011,nt,female,65-69,11.9,published
2011,nt,female,70-74,21.0,published
2011,nt,female,75-79,27.2,published
2011,nt,female,80-84,50.5,published
2011,nt,female,85-89,133.3,published
2011,nt,female,90-94,209.5,published
2011,nt,female,95-99,400.0,published
2011,nt,male,0-4,2.0,published
2011,nt,male,10-14,0.1,published
2011,nt,male,100+,0.0,published
2011,nt,male,15-19,1.0,published
2011,nt,male,20-24,2.2,published
2011,nt,male,25-29,1.7,published
2011,nt,male,30-34,1.4,published
2011,nt,male,35-39,2.4,published
2011,nt,male,40-44,2.3,published
2011,nt,male,45-49,3.5,published
2011,nt,male,5-9,0.2,published
2011,nt,male,50-54,6.3,published
2011,nt,male,55-59,8.2,published
2011,nt,male,60-64,11.4,published
2011,nt,male,65-69,18.6,published
2011,nt,male,70-74,28.0,published
2011,nt,male,75-79,44.4,published
2011,nt,male,80-84,72.4,published
2011,nt,male,85-89,113.6,published
2011,nt,male,90-94,342.9,published
2011,nt,male,95-99,625.0,published
2011,qld,female,0-4,1.1,published
2011,qld,female,10-14,0.1,published
2011,qld,female,100+,474.3,published
2011,qld,female,15-19,0.3,published
2011,qld,female,20-24,0.3,published
2011,qld,female,25-29,0.4,published
2011,qld,female,30-34,0.4,published
2011,qld,female,35-39,0.7,published
2011,qld,female,40-44,0.9,published
2011,qld,female,45-49,1.6,published
2011,qld,female,5-9,0.1,published
2011,qld,female,50-54,2.0,published
2011,qld,female,55-59,3.1,published
2011,qld,female,60-64,4.7,published
2011,qld,female,65-69,7.5,published
2011,qld,female,70-74,13.4,published
2011,qld,female,75-79,21.9,published
2011,qld,female,80-84,43.1,published
2011,qld,female,85-89,90.5,published
2011,qld,female,90-94,174.3,published
2011,qld,female,95-99,303.8,published
2011,qld,male,0-4,1.2,published
2011,qld,male,10-14,0.1,published
2011,qld,male,100+,370.8,published
2011,qld,male,15-19,0.5,published
2011,qld,male,20-24,0.7,published
2011,qld,male,25-29,0.8,published
2011,qld,male,30-34,1.0,published
2011,qld,male,35-39,1.2,published
2011,qld,male,40-44,1.6,published
2011,qld,male,45-49,2.3,published
2011,qld,male,5-9,0.1,published
2011,qld,male,50-54,3.6,published
2011,qld,male,55-59,5.3,published
2011,qld,male,60-64,8.5,published
2011,qld,male,65-69,13.0,published
2011,qld,male,70-74,21.9,published
2011,qld,male,75-79,38.0,published
2011,qld,male,80-84,70.4,published
2011,qld,male,85-89,126.1,published
2011,qld,male,90-94,203.0,published
2011,qld,male,95-99,322.3,published
2011,sa,female,0-4,0.7,published
2011,sa,female,10-14,0.1,published
2011,sa,female,100+,438.0,published
2011,sa,female,15-19,0.3,published
2011,sa,female,20-24,0.2,published
2011,sa,female,25-29,0.3,published
2011,sa,female,30-34,0.5,published
2011,sa,female,35-39,0.6,published
2011,sa,female,40-44,0.9,published
2011,sa,female,45-49,1.3,published
2011,sa,female,5-9,0.1,published
2011,sa,female,50-54,2.2,published
2011,sa,female,55-59,3.1,published
2011,sa,female,60-64,4.9,published
2011,sa,female,65-69,7.0,published
2011,sa,female,70-74,13.4,published
2011,sa,female,75-79,22.8,published
2011,sa,female,80-84,45.7,published
2011,sa,female,85-89,89.5,published
2011,sa,female,90-94,162.5,published
2011,sa,female,95-99,314.8,published
2011,sa,male,0-4,0.7,published
