beta,gamma
0.80430519580841064,0.11276723444461823
0.80975902080535889,0.12095475196838379
0.78048259019851685,0.10249116271734238
0.8104243278503418,0.11383458971977234
1.1679317951202393,0.11112780869007111
0.86156505346298218,0.12303668260574341
0.77805835008621216,0.093333326280117035
0.85146194696426392,0.10286793857812881
0.8118668794631958,0.1211206391453743
0.80337238311767578,0.1072428822517395
0.80961394309997559,0.088227726519107819
0.85194569826126099,0.11296272277832031
0.74662977457046509,0.097373344004154205
0.85349595546722412,0.11816583573818207
0.73011082410812378,0.10129566490650177
0.84766805171966553,0.11200583726167679
0.83574366569519043,0.096281327307224274
0.74097049236297607,0.097739659249782562
0.88483977317810059,0.10720860213041306
0.78820914030075073,0.1094328984618187
0.82073801755905151,0.11549748480319977
0.79726487398147583,0.099202677607536316
0.83362019062042236,0.088792003691196442
0.84357315301895142,0.1292179673910141
0.8651166558265686,0.13216687738895416
0.82921802997589111,0.11164505034685135
0.7753913402557373,0.11402027308940887
0.85311996936798096,0.11864487826824188
0.94189459085464478,0.095541283488273621
0.74274277687072754,0.10613135248422623
0.84904623031616211,0.10113281756639481
0.91662019491195679,0.11175909638404846
0.75156259536743164,0.11278948932886124
0.84802263975143433,0.10241474211215973
0.8202894926071167,0.10006424784660339
0.84104353189468384,0.11186988651752472
0.8145071268081665,0.094346649944782257
0.86441892385482788,0.1113048642873764
0.72704380750656128,0.101372130215168
0.80977076292037964,0.11843352019786835
0.80975502729415894,0.113204725086689
0.77559727430343628,0.11284129321575165
0.80924177169799805,0.11327546089887619
0.80780237913131714,0.10676838457584381
0.78691822290420532,0.11443670094013214
0.86328804492950439,0.11440734565258026
0.80002599954605103,0.11578357964754105
0.8645092248916626,0.12920856475830078
0.87407386302947998,0.10713820159435272
0.93895888328552246,0.1102977842092514
0.8178403377532959,0.11383522301912308
0.85029584169387817,0.096811875700950623
0.79686766862869263,0.11593365669250488
0.82530957460403442,0.10723767429590225
0.8243139386177063,0.10656258463859558
0.83286106586456299,0.098837047815322876
0.86055111885070801,0.12705804407596588
0.76855301856994629,0.08600914478302002
0.8493727445602417,0.11347999423742294
0.90324032306671143,0.11662022769451141
0.82621937990188599,0.10419940203428268
0.93026995658874512,0.11798620969057083
0.81568902730941772,0.10386877506971359
0.86616766452789307,0.12111855298280716
0.74735450744628906,0.1168496236205101
0.44390550255775452,0.1004239097237587
0.82201856374740601,0.1115587130188942
0.80569326877593994,0.10146541893482208
0.95049208402633667,0.14921601116657257
0.80257189273834229,0.10273205488920212
0.79773253202438354,0.11224362254142761
0.78953182697296143,0.11972115933895111
0.76993995904922485,0.097641587257385254
0.74951362609863281,0.1168193593621254
0.83098191022872925,0.11174237728118896
0.80562758445739746,0.11274127662181854
0.75761234760284424,0.11179501563310623
0.77815598249435425,0.10625205188989639
0.82504898309707642,0.11912981420755386
0.85612231492996216,0.12414932250976562
0.80052644014358521,0.10927127301692963
0.83094531297683716,0.13053321838378906
0.80358445644378662,0.096862949430942535
0.82725465297698975,0.11008664965629578
0.73121809959411621,0.098289348185062408
0.79184204339981079,0.11302908509969711
0.80783313512802124,0.12757396697998047
0.79426485300064087,0.097198083996772766
0.93344825506210327,0.11105100065469742
0.8586927056312561,0.10234934836626053
0.80097329616546631,0.11156981438398361
0.80606728792190552,0.11422614008188248
0.73927748203277588,0.10988383740186691
0.79694467782974243,0.10326877236366272
0.85827654600143433,0.10850948840379715
0.79294359683990479,0.12216959893703461
0.76807916164398193,0.10300987213850021
0.76439410448074341,0.10337254405021667
0.74086105823516846,0.10224455595016479
